
ESPN 5 ,,http://38.199.6.1:17001/play/a04o/index.m3u8
ESPN 6 ,,http://38.199.6.1:17001/play/a044/index.m3u8
ESPN 7 ,,http://38.199.6.1:17001/play/a04p/index.m3u8
ESPN ,,http://38.199.6.1:17001/play/a03f/index.m3u8
ESPN Premium ,,http://38.199.6.1:17001/play/a06g/index.m3u8
EWTN,,http://38.199.6.1:17001/play/a0ps/index.m3u8
El Gourmet ,,http://38.199.6.1:17001/play/a04d/index.m3u8
Eurochannel,,http://38.199.6.1:17001/play/a0tb/index.m3u8
Europa Europa,,http://38.199.6.1:17001/play/a0q1/index.m3u8
Exitosa I,,http://38.199.6.1:17001/play/a0cb/index.m3u8
FMH Family ENCODER ,,http://38.199.6.1:17001/play/a0uh/index.m3u8
FMH KIDS ENCODER ,,http://38.199.6.1:17001/play/a0dh/index.m3u8
FMH Movies ENCODER ,,http://38.199.6.1:17001/play/a0dm/index.m3u8
FX ,,http://38.199.6.1:17001/play/a04u/index.m3u8
Film&Arts,,http://38.199.6.1:17001/play/a0pl/index.m3u8
Folklore TV,,http://38.199.6.1:17001/play/a0wm/index.m3u8
Food Network ,,http://38.199.6.1:17001/play/a05u/index.m3u8
France 24,,http://38.199.6.1:17001/play/a0y8/index.m3u8
FreeTV Terror ENCODER ,,http://38.199.6.1:17001/play/a0uu/index.m3u8
Fun Box ENCODER ,,http://38.199.6.1:17001/play/a0d4/index.m3u8
GOLPERU ,,http://38.199.6.1:17001/play/a05y/index.m3u8
Global I,,http://38.199.6.1:17001/play/a0cs/index.m3u8
GolTV ,,http://38.199.6.1:17001/play/a05s/index.m3u8
Golden Edge ,,http://38.199.6.1:17001/play/a0br/index.m3u8
Golden ,,http://38.199.6.1:17001/play/a05l/index.m3u8
Golden Premiere ENCODER ,,http://38.199.6.1:17001/play/a0dj/index.m3u8
Golf Channel,,http://38.199.6.1:17001/play/a0pu/index.m3u8
HBO 2 ,,http://38.199.6.1:17001/play/a05e/index.m3u8
HBO Family ,,http://38.199.6.1:17001/play/a06i/index.m3u8
HBO ,,http://38.199.6.1:17001/play/a056/index.m3u8
HBO MUNDI,,http://38.199.6.1:17001/play/a0yj/index.m3u8
HBO POP ,,http://38.199.6.1:17001/play/a038/index.m3u8
HBO Plus ,,http://38.199.6.1:17001/play/a0by/index.m3u8
HBO Signature ,,http://38.199.6.1:17001/play/a0bz/index.m3u8
HBO XTREME ,,http://38.199.6.1:17001/play/a06j/index.m3u8
HOLA TV ,,http://38.199.6.1:17001/play/a041/index.m3u8
HTV ,,http://38.199.6.1:17001/play/a0et/index.m3u8
History 2 ,,http://38.199.6.1:17001/play/a06h/index.m3u8
